;timestamp;Signalname;interpreted_value
588;66541322945100.0;S-A;a
589;66549362341800.0;S-A;c
590;66549562229200.0;S-A;a
591;66555422576900.0;S-A;c
592;66555722492100.0;S-A;a
593;66558182811200.0;S-A;e
594;66558482815100.0;S-A;a
595;66629233500800.0;S-A;c
596;66629533569200.0;S-A;a
597;66647174552500.0;S-A;e
598;66647374480300.0;S-A;a
599;66673755373200.0;S-A;c
600;66674055426700.0;S-A;a
601;66773896542000.0;S-A;e
602;66774096553200.0;S-A;a
603;66803776797300.0;S-A;c
604;66804076999200.0;S-A;a
605;66830597922500.0;S-A;e
606;66830997936100.0;S-A;a
607;66843077417300.0;S-A;e
608;66843577440000.0;S-A;a
609;66898879027300.0;S-A;c
610;66899079101200.0;S-A;a
611;66955829940600.0;S-A;e
612;66956029586900.0;S-A;a
613;66982111418200.0;S-A;c
614;66988210527900.0;S-A;a
615;67019131676400.0;S-A;e
616;67019431722600.0;S-A;a
617;67033831121500.0;S-A;c
618;67034131154900.0;S-A;a
619;67050871840300.0;S-A;e
620;67051171845200.0;S-A;a
621;67054892357900.0;S-A;e
622;67055091938600.0;S-A;a
623;67069651224000.0;S-A;c
624;67069951219500.0;S-A;a
625;67089692742800.0;S-A;e
626;67089992814300.0;S-A;a
627;67107693446500.0;S-A;c
628;67107993359200.0;S-A;a
629;67117232707900.0;S-A;e
630;67117532306500.0;S-A;a
631;67140633068100.0;S-A;a
632;67140933922900.0;S-A;a
633;67143394782700.0;S-A;a
634;67143695007900.0;S-A;a
635;67144533985400.0;S-A;c
636;67144733432000.0;S-A;a
637;67147653485200.0;S-A;c
638;67147952612700.0;S-A;a
639;67159713784800.0;S-A;e
640;67160014874000.0;S-A;a
641;67170394935500.0;S-A;c
642;67170594614200.0;S-A;a
643;67183054544000.0;S-A;e
644;67183354141600.0;S-A;a
645;67189594353400.0;S-A;c
646;67189894642100.0;S-A;a
647;67199615354000.0;S-A;e
648;67199814703100.0;S-A;a
649;67215095185700.0;S-A;c
650;67215494797600.0;S-A;a
651;67232444255800.0;S-A;e
652;67232645506900.0;S-A;a
653;67249904847000.0;S-A;c
654;67250204861100.0;S-A;a
655;67271985892400.0;S-A;e
656;67272186142500.0;S-A;a
657;67275465165500.0;S-A;e
658;67275665308000.0;S-A;a
